CMDLINE /Users/wujinzhou/anaconda3/bin/python spimi.py
MEM 112.476562 1616134508.3916
MEM 112.511719 1616134508.4963
MEM 112.644531 1616134508.6008
MEM 112.835938 1616134508.7055
MEM 112.894531 1616134508.8106
MEM 112.894531 1616134508.9150
MEM 113.015625 1616134509.0198
MEM 113.253906 1616134509.1232
MEM 113.710938 1616134509.2286
MEM 114.796875 1616134509.3305
MEM 114.796875 1616134509.4343
MEM 114.800781 1616134509.5349
MEM 114.800781 1616134509.6398
MEM 114.804688 1616134509.7401
MEM 114.808594 1616134509.8441
MEM 114.808594 1616134509.9477
MEM 114.808594 1616134510.0524
MEM 114.863281 1616134510.1540
MEM 114.863281 1616134510.2555
MEM 114.867188 1616134510.3612
MEM 114.871094 1616134510.4643
MEM 114.898438 1616134510.5689
MEM 114.898438 1616134510.6723
MEM 114.925781 1616134510.7774
MEM 114.925781 1616134510.8811
MEM 114.929688 1616134510.9840
MEM 114.953125 1616134511.0847
MEM 115.023438 1616134511.1890
MEM 115.035156 1616134511.2935
MEM 115.226562 1616134511.3979
MEM 115.226562 1616134511.5034
MEM 115.296875 1616134511.6079
MEM 115.296875 1616134511.7117
MEM 115.445312 1616134511.8170
MEM 115.496094 1616134511.9195
MEM 115.503906 1616134512.0245
MEM 115.535156 1616134512.1247
MEM 115.695312 1616134512.2298
MEM 115.855469 1616134512.3318
MEM 116.070312 1616134512.4345
MEM 116.164062 1616134512.5350
MEM 116.347656 1616134512.6401
MEM 116.476562 1616134512.7446
MEM 116.660156 1616134512.8469
MEM 116.816406 1616134512.9497
MEM 116.917969 1616134513.0535
MEM 117.125000 1616134513.1565
MEM 117.261719 1616134513.2601
MEM 117.343750 1616134513.3610
MEM 117.511719 1616134513.4660
MEM 117.656250 1616134513.5690
MEM 117.773438 1616134513.6694
MEM 118.019531 1616134513.7704
MEM 118.101562 1616134513.8724
MEM 118.304688 1616134513.9753
MEM 118.386719 1616134514.0797
MEM 118.574219 1616134514.1834
MEM 118.648438 1616134514.2885
MEM 118.804688 1616134514.3933
MEM 118.894531 1616134514.4974
MEM 119.550781 1616134514.6024
MEM 119.722656 1616134514.7079
MEM 119.773438 1616134514.8105
