CMDLINE /Users/wujinzhou/anaconda3/bin/python spimi.py
MEM 0.011719 1616135870.4383
MEM 10.425781 1616135870.5406
MEM 17.234375 1616135870.6411
MEM 23.625000 1616135870.7420
MEM 31.222656 1616135870.8440
MEM 37.855469 1616135870.9484
MEM 38.828125 1616135871.0529
MEM 42.187500 1616135871.1532
MEM 48.550781 1616135871.2576
MEM 50.218750 1616135871.3613
MEM 52.257812 1616135871.4644
MEM 54.113281 1616135871.5693
MEM 56.414062 1616135871.6714
MEM 58.277344 1616135871.7747
MEM 59.820312 1616135871.8754
MEM 61.421875 1616135871.9798
MEM 63.218750 1616135872.0843
MEM 65.343750 1616135872.1845
MEM 66.519531 1616135872.2860
MEM 67.878906 1616135872.3891
MEM 69.214844 1616135872.4927
MEM 71.945312 1616135872.5929
MEM 74.156250 1616135872.6937
MEM 79.085938 1616135872.7963
MEM 84.242188 1616135872.8973
MEM 87.000000 1616135873.0005
MEM 88.894531 1616135873.1044
MEM 91.417969 1616135873.2080
MEM 92.414062 1616135873.3088
MEM 92.750000 1616135873.4101
MEM 92.781250 1616135873.5151
MEM 92.789062 1616135873.6190
MEM 93.328125 1616135873.7196
MEM 94.453125 1616135873.8210
MEM 95.472656 1616135873.9225
MEM 96.585938 1616135874.0259
MEM 98.402344 1616135874.1296
MEM 101.218750 1616135874.2320
MEM 103.535156 1616135874.3366
MEM 107.171875 1616135874.4411
MEM 107.417969 1616135874.5440
MEM 107.703125 1616135874.6477
MEM 107.843750 1616135874.7525
MEM 108.039062 1616135874.8564
MEM 108.253906 1616135874.9609
MEM 108.253906 1616135875.0652
MEM 108.371094 1616135875.1690
MEM 108.621094 1616135875.2707
MEM 109.421875 1616135875.3768
MEM 110.273438 1616135875.4805
MEM 110.359375 1616135875.5809
MEM 110.375000 1616135875.6816
MEM 110.375000 1616135875.7855
MEM 110.375000 1616135875.8891
MEM 110.406250 1616135875.9945
MEM 110.417969 1616135876.0981
MEM 110.417969 1616135876.1994
MEM 110.417969 1616135876.3041
MEM 110.453125 1616135876.4049
MEM 110.453125 1616135876.5095
MEM 110.468750 1616135876.6106
MEM 110.472656 1616135876.7108
MEM 110.492188 1616135876.8130
MEM 110.777344 1616135876.9177
MEM 110.785156 1616135877.0191
MEM 110.785156 1616135877.1214
MEM 111.039062 1616135877.2259
MEM 111.847656 1616135877.3275
MEM 112.054688 1616135877.4293
MEM 112.054688 1616135877.5345
MEM 112.054688 1616135877.6392
MEM 112.058594 1616135877.7393
MEM 112.058594 1616135877.8428
MEM 112.062500 1616135877.9466
MEM 112.062500 1616135878.0507
MEM 112.066406 1616135878.1512
MEM 112.070312 1616135878.2534
MEM 112.074219 1616135878.3578
MEM 112.074219 1616135878.4616
MEM 112.078125 1616135878.5626
MEM 112.078125 1616135878.6670
MEM 112.089844 1616135878.7715
MEM 112.238281 1616135878.8758
MEM 112.335938 1616135878.9806
MEM 112.625000 1616135879.0896
MEM 112.625000 1616135879.1946
MEM 112.636719 1616135879.2975
MEM 112.636719 1616135879.4025
MEM 112.761719 1616135879.5028
MEM 112.789062 1616135879.6070
MEM 112.929688 1616135879.7117
MEM 113.140625 1616135879.8164
MEM 113.199219 1616135879.9167
MEM 113.316406 1616135880.0190
MEM 113.539062 1616135880.1193
MEM 114.105469 1616135880.2229
MEM 114.980469 1616135880.3272
MEM 114.980469 1616135880.4295
MEM 114.980469 1616135880.5340
MEM 114.992188 1616135880.6392
MEM 115.003906 1616135880.7437
MEM 115.031250 1616135880.8475
MEM 115.035156 1616135880.9538
MEM 115.042969 1616135881.0558
MEM 115.046875 1616135881.1592
MEM 115.058594 1616135881.2606
MEM 115.058594 1616135881.3609
MEM 115.066406 1616135881.4634
MEM 115.335938 1616135881.5663
MEM 115.402344 1616135881.6695
MEM 115.410156 1616135881.7714
MEM 115.519531 1616135881.8718
MEM 115.593750 1616135881.9760
MEM 115.593750 1616135882.0789
MEM 115.718750 1616135882.1829
MEM 115.878906 1616135882.2831
MEM 116.062500 1616135882.3839
MEM 116.257812 1616135882.4865
MEM 116.394531 1616135882.5887
MEM 116.589844 1616135882.6934
MEM 116.738281 1616135882.7940
MEM 116.894531 1616135882.8945
MEM 117.054688 1616135882.9991
MEM 117.328125 1616135883.1036
MEM 117.519531 1616135883.2040
MEM 117.703125 1616135883.3090
MEM 117.757812 1616135883.4111
MEM 117.925781 1616135883.5129
MEM 118.203125 1616135883.6148
MEM 118.308594 1616135883.7198
MEM 118.554688 1616135883.8232
MEM 118.679688 1616135883.9264
MEM 118.847656 1616135884.0308
MEM 119.046875 1616135884.1355
MEM 119.156250 1616135884.2357
MEM 119.875000 1616135884.3362
MEM 119.875000 1616135884.4375
MEM 119.875000 1616135884.5418
MEM 119.875000 1616135884.6462
MEM 119.964844 1616135884.7464
MEM 120.050781 1616135884.8509
MEM 120.339844 1616135884.9542
MEM 120.550781 1616135885.0563
MEM 120.636719 1616135885.1572
MEM 120.863281 1616135885.2590
MEM 121.015625 1616135885.3638
MEM 121.222656 1616135885.4683
MEM 121.671875 1616135885.5720
MEM 121.703125 1616135885.6737
MEM 121.703125 1616135885.7762
MEM 121.925781 1616135885.8771
MEM 121.929688 1616135885.9813
MEM 122.144531 1616135886.0823
MEM 122.328125 1616135886.1829
MEM 122.441406 1616135886.2832
MEM 122.667969 1616135886.3861
MEM 122.839844 1616135886.4896
MEM 123.015625 1616135886.5943
MEM 123.828125 1616135886.6992
MEM 123.832031 1616135886.8035
MEM 124.433594 1616135886.9079
MEM 124.578125 1616135887.0124
MEM 124.578125 1616135887.1169
MEM 124.582031 1616135887.2213
MEM 124.710938 1616135887.3218
MEM 124.941406 1616135887.4255
MEM 125.312500 1616135887.5291
MEM 125.351562 1616135887.6313
MEM 125.363281 1616135887.7338
MEM 125.503906 1616135887.8373
MEM 125.988281 1616135887.9406
MEM 126.343750 1616135888.0434
MEM 126.347656 1616135888.1484
MEM 126.597656 1616135888.2526
MEM 126.625000 1616135888.3531
MEM 126.628906 1616135888.4563
MEM 126.628906 1616135888.5566
MEM 126.847656 1616135888.6608
MEM 127.003906 1616135888.7649
MEM 127.109375 1616135888.8698
MEM 128.039062 1616135888.9742
MEM 128.046875 1616135889.0787
MEM 128.046875 1616135889.1795
MEM 128.062500 1616135889.2829
MEM 128.074219 1616135889.3879
MEM 128.074219 1616135889.4887
MEM 128.347656 1616135889.5920
MEM 128.449219 1616135889.6954
MEM 128.539062 1616135889.7996
MEM 128.648438 1616135889.9003
MEM 128.933594 1616135890.0011
MEM 129.058594 1616135890.1055
MEM 129.179688 1616135890.2059
MEM 129.304688 1616135890.3081
MEM 129.414062 1616135890.4123
MEM 129.765625 1616135890.5169
MEM 129.765625 1616135890.6205
MEM 129.898438 1616135890.7246
MEM 130.003906 1616135890.8249
MEM 130.171875 1616135890.9297
MEM 130.605469 1616135891.0316
MEM 131.617188 1616135891.1361
MEM 131.664062 1616135891.2392
MEM 131.664062 1616135891.3421
MEM 131.695312 1616135891.4425
MEM 131.699219 1616135891.5437
MEM 131.734375 1616135891.6467
MEM 131.757812 1616135891.7501
MEM 131.765625 1616135891.8537
MEM 131.781250 1616135891.9578
MEM 131.941406 1616135892.0634
MEM 132.171875 1616135892.1651
MEM 132.531250 1616135892.2690
MEM 132.531250 1616135892.3697
MEM 132.589844 1616135892.4707
MEM 132.750000 1616135892.5736
MEM 132.890625 1616135892.6787
MEM 133.167969 1616135892.7834
MEM 133.183594 1616135892.8838
MEM 133.277344 1616135892.9844
MEM 133.824219 1616135893.0872
MEM 133.960938 1616135893.1919
MEM 133.988281 1616135893.2957
MEM 134.015625 1616135893.4006
MEM 134.121094 1616135893.5058
MEM 134.144531 1616135893.6090
MEM 134.636719 1616135893.7139
MEM 134.636719 1616135893.8191
MEM 134.636719 1616135893.9234
MEM 134.636719 1616135894.0270
MEM 134.808594 1616135894.1315
MEM 134.910156 1616135894.2360
MEM 135.062500 1616135894.3399
MEM 135.914062 1616135894.4450
MEM 136.687500 1616135894.5488
MEM 135.433594 1616135894.6542
MEM 135.539062 1616135894.7585
MEM 135.539062 1616135894.8630
MEM 135.562500 1616135894.9674
MEM 135.578125 1616135895.0719
MEM 135.617188 1616135895.1764
MEM 135.652344 1616135895.2792
MEM 135.652344 1616135895.3831
MEM 135.652344 1616135895.4879
MEM 135.652344 1616135895.5881
MEM 135.867188 1616135895.6928
MEM 135.957031 1616135895.7963
MEM 136.683594 1616135895.8968
MEM 136.683594 1616135896.0016
MEM 136.683594 1616135896.1027
MEM 136.683594 1616135896.2046
MEM 137.027344 1616135896.3086
MEM 137.027344 1616135896.4096
MEM 137.503906 1616135896.5100
MEM 137.503906 1616135896.6136
MEM 137.664062 1616135896.7422
MEM 137.683594 1616135896.8461
MEM 137.792969 1616135896.9474
MEM 137.871094 1616135897.0526
MEM 138.003906 1616135897.1565
MEM 138.046875 1616135897.2609
MEM 134.093750 1616135897.3638
MEM 133.769531 1616135897.4676
MEM 123.386719 1616135897.5691
MEM 123.398438 1616135897.6727
MEM 123.414062 1616135897.7771
MEM 123.410156 1616135897.8813
MEM 123.796875 1616135897.9820
MEM 123.800781 1616135898.0825
MEM 123.996094 1616135898.1868
MEM 124.140625 1616135898.2879
MEM 124.621094 1616135898.3924
MEM 124.625000 1616135898.4972
MEM 124.632812 1616135898.6014
MEM 124.800781 1616135898.7026
MEM 124.882812 1616135898.8064
MEM 125.035156 1616135898.9105
MEM 125.152344 1616135899.0126
MEM 125.281250 1616135899.1148
MEM 125.464844 1616135899.2190
MEM 125.769531 1616135899.3197
MEM 126.039062 1616135899.4208
MEM 126.144531 1616135899.5226
MEM 126.281250 1616135899.6231
MEM 126.437500 1616135899.7271
MEM 126.570312 1616135899.8308
MEM 127.300781 1616135899.9327
MEM 127.304688 1616135900.0374
MEM 127.347656 1616135900.1413
MEM 127.359375 1616135900.2423
MEM 127.757812 1616135900.3462
MEM 127.781250 1616135900.4486
MEM 127.816406 1616135900.5488
MEM 127.925781 1616135900.6526
MEM 128.015625 1616135900.7541
MEM 128.375000 1616135900.8571
MEM 128.378906 1616135900.9584
MEM 128.496094 1616135901.0630
MEM 128.621094 1616135901.1671
MEM 129.058594 1616135901.2717
MEM 129.093750 1616135901.3752
MEM 129.277344 1616135901.4771
MEM 129.281250 1616135901.5813
MEM 129.464844 1616135901.6830
MEM 129.644531 1616135901.7847
MEM 129.777344 1616135901.8866
MEM 130.445312 1616135901.9896
MEM 130.636719 1616135902.0933
