CMDLINE /Users/wujinzhou/anaconda3/bin/python spimi.py
MEM 0.011719 1616135051.6680
MEM 9.468750 1616135051.7745
MEM 16.910156 1616135051.8791
MEM 21.035156 1616135051.9827
MEM 28.687500 1616135052.0873
MEM 37.304688 1616135052.1917
MEM 38.597656 1616135052.2960
MEM 38.824219 1616135052.4010
MEM 40.160156 1616135052.5051
MEM 42.171875 1616135052.6095
MEM 43.691406 1616135052.7137
MEM 45.250000 1616135052.8179
MEM 48.472656 1616135052.9210
MEM 48.957031 1616135053.0212
MEM 51.871094 1616135053.1227
MEM 53.371094 1616135053.2241
MEM 53.804688 1616135053.3243
MEM 56.187500 1616135053.4287
MEM 57.625000 1616135053.5305
MEM 58.765625 1616135053.6312
MEM 60.722656 1616135053.7319
MEM 62.234375 1616135053.8345
MEM 63.632812 1616135053.9386
MEM 65.285156 1616135054.0420
MEM 66.292969 1616135054.1431
MEM 67.589844 1616135054.2474
MEM 68.207031 1616135054.3514
MEM 68.753906 1616135054.4559
MEM 69.332031 1616135054.5610
MEM 69.648438 1616135054.6681
MEM 71.714844 1616135054.7721
MEM 73.621094 1616135054.8763
MEM 75.593750 1616135054.9805
MEM 79.878906 1616135055.0840
MEM 84.089844 1616135055.1880
MEM 86.609375 1616135055.2912
MEM 87.187500 1616135055.3949
MEM 87.496094 1616135055.4989
MEM 88.113281 1616135055.6073
MEM 88.257812 1616135055.7115
MEM 88.925781 1616135055.8164
MEM 89.660156 1616135055.9231
MEM 91.078125 1616135056.0314
MEM 91.386719 1616135056.1318
MEM 91.878906 1616135056.2348
MEM 92.667969 1616135056.3362
MEM 92.730469 1616135056.4405
MEM 92.769531 1616135056.5454
MEM 92.804688 1616135056.6505
MEM 92.820312 1616135056.7551
MEM 92.820312 1616135056.8576
MEM 92.820312 1616135056.9637
MEM 92.820312 1616135057.0701
MEM 93.046875 1616135057.1735
MEM 93.105469 1616135057.2761
MEM 93.144531 1616135057.3785
MEM 94.046875 1616135057.4794
MEM 94.339844 1616135057.5826
MEM 94.726562 1616135057.6851
MEM 95.414062 1616135057.7877
MEM 95.691406 1616135057.8883
MEM 96.468750 1616135057.9910
MEM 97.652344 1616135058.0940
MEM 99.437500 1616135058.1971
MEM 101.117188 1616135058.3014
MEM 103.933594 1616135058.4073
MEM 107.093750 1616135058.5121
MEM 107.335938 1616135058.6140
MEM 107.730469 1616135058.7188
MEM 107.914062 1616135058.8200
MEM 108.144531 1616135058.9257
MEM 108.214844 1616135059.0300
MEM 108.433594 1616135059.1302
MEM 109.070312 1616135059.2340
MEM 110.242188 1616135059.3384
MEM 110.316406 1616135059.4415
MEM 110.335938 1616135059.5484
MEM 110.335938 1616135059.6491
MEM 110.335938 1616135059.7514
MEM 110.371094 1616135059.8557
MEM 110.382812 1616135059.9602
MEM 110.382812 1616135060.0625
MEM 110.398438 1616135060.1665
MEM 110.398438 1616135060.2700
MEM 110.402344 1616135060.3748
MEM 110.421875 1616135060.4754
MEM 110.421875 1616135060.5784
MEM 110.425781 1616135060.6787
MEM 110.425781 1616135060.7831
MEM 110.429688 1616135060.8873
MEM 110.710938 1616135060.9884
MEM 110.710938 1616135061.0895
MEM 110.730469 1616135061.1910
MEM 110.734375 1616135061.2925
MEM 110.746094 1616135061.3949
MEM 111.097656 1616135061.4996
MEM 111.835938 1616135061.6021
MEM 111.859375 1616135061.7031
MEM 111.859375 1616135061.8040
MEM 111.859375 1616135061.9051
MEM 111.859375 1616135062.0086
MEM 111.886719 1616135062.1123
MEM 111.886719 1616135062.2129
MEM 111.886719 1616135062.3179
MEM 111.886719 1616135062.4208
MEM 111.906250 1616135062.5249
MEM 111.906250 1616135062.6290
MEM 111.906250 1616135062.7317
MEM 111.906250 1616135062.8351
MEM 111.910156 1616135062.9390
MEM 112.019531 1616135063.0418
MEM 112.062500 1616135063.1422
MEM 112.273438 1616135063.2465
MEM 112.363281 1616135063.3514
MEM 112.699219 1616135063.4521
MEM 112.703125 1616135063.5562
MEM 112.730469 1616135063.6583
MEM 112.765625 1616135063.7620
MEM 112.906250 1616135063.8649
MEM 112.906250 1616135063.9690
MEM 113.148438 1616135064.0735
MEM 113.152344 1616135064.1737
MEM 113.269531 1616135064.2776
MEM 113.492188 1616135064.3820
MEM 113.496094 1616135064.4842
MEM 114.917969 1616135064.5888
MEM 114.996094 1616135064.6928
MEM 114.996094 1616135064.7934
MEM 115.000000 1616135064.8939
MEM 115.003906 1616135064.9990
MEM 115.023438 1616135065.1020
MEM 115.070312 1616135065.2041
MEM 115.097656 1616135065.3084
MEM 115.105469 1616135065.4114
MEM 115.105469 1616135065.5118
MEM 115.121094 1616135065.6161
MEM 115.125000 1616135065.7190
MEM 115.128906 1616135065.8194
MEM 115.238281 1616135065.9238
MEM 115.238281 1616135066.0282
MEM 115.382812 1616135066.1291
MEM 115.382812 1616135066.2316
MEM 115.496094 1616135066.3338
MEM 115.511719 1616135066.4356
MEM 115.585938 1616135066.5401
MEM 115.593750 1616135066.6439
MEM 115.722656 1616135066.7474
MEM 115.824219 1616135066.8514
MEM 115.902344 1616135066.9548
MEM 116.011719 1616135067.0590
MEM 116.085938 1616135067.1605
MEM 116.273438 1616135067.2645
MEM 116.371094 1616135067.3685
MEM 116.496094 1616135067.4727
MEM 116.652344 1616135067.5774
MEM 116.742188 1616135067.6811
MEM 116.890625 1616135067.7844
MEM 117.042969 1616135067.8871
MEM 117.171875 1616135067.9909
MEM 117.394531 1616135068.0927
MEM 117.527344 1616135068.1929
MEM 117.714844 1616135068.2940
MEM 117.761719 1616135068.3954
MEM 117.882812 1616135068.4979
MEM 117.957031 1616135068.6026
MEM 117.976562 1616135068.7029
MEM 118.175781 1616135068.8037
MEM 118.234375 1616135068.9087
MEM 118.460938 1616135069.0164
MEM 118.460938 1616135069.1195
MEM 118.460938 1616135069.2232
MEM 118.535156 1616135069.3262
MEM 118.691406 1616135069.4294
MEM 118.761719 1616135069.5340
MEM 118.937500 1616135069.6388
MEM 119.093750 1616135069.7404
MEM 119.824219 1616135069.8407
MEM 119.832031 1616135069.9443
MEM 119.851562 1616135070.0464
MEM 119.859375 1616135070.1514
MEM 119.871094 1616135070.2564
MEM 119.929688 1616135070.3609
MEM 119.968750 1616135070.4654
MEM 120.066406 1616135070.5711
MEM 120.261719 1616135070.6746
MEM 120.343750 1616135070.7792
MEM 120.468750 1616135070.8842
MEM 120.578125 1616135070.9883
MEM 120.679688 1616135071.0978
MEM 120.753906 1616135071.2014
MEM 120.902344 1616135071.3028
MEM 121.140625 1616135071.4060
MEM 121.554688 1616135071.5110
MEM 121.578125 1616135071.6117
MEM 121.593750 1616135071.7127
MEM 121.816406 1616135071.8155
MEM 121.898438 1616135071.9199
MEM 121.945312 1616135072.0213
MEM 122.140625 1616135072.1230
MEM 122.292969 1616135072.2233
MEM 122.406250 1616135072.3275
MEM 122.621094 1616135072.4311
MEM 122.722656 1616135072.5341
MEM 122.859375 1616135072.6383
MEM 123.574219 1616135072.7426
MEM 123.589844 1616135072.8441
MEM 124.156250 1616135072.9480
MEM 124.453125 1616135073.0515
MEM 124.519531 1616135073.1525
MEM 124.519531 1616135073.2540
MEM 124.527344 1616135073.3549
MEM 124.656250 1616135073.4586
MEM 124.875000 1616135073.5637
MEM 125.042969 1616135073.6684
MEM 125.250000 1616135073.7692
MEM 125.281250 1616135073.8705
MEM 125.304688 1616135073.9719
MEM 125.535156 1616135074.0761
MEM 126.210938 1616135074.1807
MEM 126.339844 1616135074.2854
MEM 126.339844 1616135074.3899
MEM 126.593750 1616135074.4905
MEM 126.628906 1616135074.5955
MEM 126.628906 1616135074.6967
MEM 126.632812 1616135074.8014
MEM 126.722656 1616135074.9041
MEM 126.878906 1616135075.0052
MEM 126.972656 1616135075.1097
MEM 127.992188 1616135075.2145
MEM 128.007812 1616135075.3188
MEM 128.007812 1616135075.4231
MEM 128.007812 1616135075.5277
